source_file,theta_cmd_deg,direction_sign,esc_us,t_s,position_m,velocity_mps,acceleration_mps2,theta_rad,thrust_N,rail_force_N,friction_residual_N,velocity_sign,dynamic_fit_N,spatial_residual_N
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.559999999999988,-0.00515349388369768,-0.0299052337768353,-0.0823182943645128,-0.670635999764659,1.96441163940576,-1.22085113368234,-1.1835115553586,-1,-1.19540537564967,0.0118938202910714
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.579999999999988,-0.00573981953513634,-0.0312081197247782,-0.0634583683754825,-0.670635999896314,1.96488344489404,-1.2211443536225,-1.19235963772738,-1,-1.1984718536163,0.00611221588891819
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.599999999999987,-0.00644958216582524,-0.0324435685118545,-0.0422156627024996,-0.670635999954318,1.96524865939445,-1.2213713288162,-1.20222230421435,-1,-1.20137961119128,-0.000842693023066277
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.619999999999987,-0.00706676706207646,-0.0328967462328782,-0.00849708226919443,-0.670635999979873,1.96553136409929,-1.2215470254115,-1.21769274889419,-1,-1.20244621222316,-0.0152465366710324
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.639999999999986,-0.00771481120314024,-0.0327834518026223,-0.00764287823155091,-0.670635999991132,1.9657501997426,-1.22168302836118,-1.21821621879535,-1,-1.20217956196519,-0.0160366568301609
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.659999999999986,-0.00840914421142286,-0.0332024613621402,-0.0206132921715595,-0.670635999996093,1.96591959571642,-1.22178830531923,-1.21243811599021,-1,-1.20316574466529,-0.00927237132491698
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.679999999999986,-0.00904175873008036,-0.0336079834894847,-0.0294026021378424,-0.670635999998278,1.9660507215034,-1.22186979794997,-1.20853277762024,-1,-1.20412018328707,-0.00441259433317409
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.699999999999985,-0.00973609173836298,-0.0343785654476539,-0.0407320451634342,-0.670635999999241,1.96615222316027,-1.22193287964492,-1.20345682395879,-1,-1.20593382829563,0.00247700433683451
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.719999999999985,-0.0103687062570205,-0.035237265296022,-0.0178258895224076,-0.670635999999665,1.96623079341396,-1.22198170983035,-1.21389588634298,-1,-1.20795486794927,-0.00594101839371253
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.739999999999984,-0.0110784688877094,-0.0350916010285501,0.0249517495206436,-0.670635999999852,1.9662916129607,-1.22201950822845,-1.23333762181101,-1,-1.20761203190331,-0.0257255899076985
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.759999999999984,-0.0118499500080234,-0.0342391953151963,0.0497911037731808,-0.670635999999934,1.96633869206624,-1.22204876715692,-1.24463401182843,-1,-1.20560580615289,-0.0390282056755435
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.779999999999983,-0.012544283016306,-0.033099956877623,0.0612554211205099,-0.670635999999971,1.96637513499122,-1.22207141586531,-1.24985687488557,-1,-1.20292448966999,-0.046932385215587
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.799999999999983,-0.0132077567797761,-0.0317889784703759,0.0709663722853018,-0.670635999999987,1.96640334467713,-1.22208894774427,-1.25427929421288,-1,-1.19983896525636,-0.0544403289565245
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.819999999999983,-0.013809512053621,-0.0302613019862109,0.0824082105790004,-0.670635999999994,1.96642518118943,-1.22210251879541,-1.25948288311405,-1,-1.19624341931757,-0.0632394637964804
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.839999999999982,-0.014303259970622,-0.028492650047216,0.0858699848368205,-0.670635999999997,1.96644208436484,-1.22211302385478,-1.26106364897676,-1,-1.19208071251262,-0.0689829364641334
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.859999999999982,-0.0148741559996544,-0.0268265025927382,0.0668976635796808,-0.670635999999998,1.96645516875008,-1.22212115559572,-1.25246593579546,-1,-1.18815926070299,-0.064306675092477
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.879999999999981,-0.015460481651093,-0.0258167435040288,0.0193095070614738,-0.670635999999999,1.96646529709181,-1.22212745020182,-1.23088624260491,-1,-1.18578268737205,-0.0451035552328567
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.899999999999981,-0.0160005184353129,-0.0260541223102793,-0.0371353965838825,-0.670635999999999,1.96647313722373,-1.22213232272128,-1.20528770683083,-1,-1.18634138315065,-0.0189463236801826
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.91999999999998,-0.0165251255971264,-0.0273021593673841,-0.0665155196681063,-0.670635999999999,1.96647920610154,-1.222136094434,-1.19196465471254,-1,-1.18927876853207,-0.00268588618047083
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.93999999999998,-0.0170034438917211,-0.0287147430970035,-0.0648745487536802,-0.670635999999999,1.96648390388958,-1.22213901403584,-1.19271191872118,-1,-1.19260343166912,-0.000108487052057571
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.95999999999998,-0.0175126214311283,-0.0298971413175312,-0.0674821189738556,-0.670635999999999,1.96648754034645,-1.22214127403696,-1.19153138487042,-1,-1.19538632920267,0.00385494433225153
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.979999999999979,-0.0182223840618172,-0.0314140278559576,-0.0951313549291705,-0.670635999999999,1.96649035524965,-1.22214302345531,-1.17899144085944,-1,-1.1989564798788,0.0199650390193591
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,0.999999999999979,-0.0189475763149124,-0.033702395514698,-0.0610531096379032,-0.670635999999999,1.9664925342058,-1.2221443776425,-1.19445068711075,-1,-1.20434239183537,0.00989170472462431
2026_05_29_friction_sweep_log_set01_08.csv,39.260652,1,1550,1.01999999999998,-0.0196727685680076,-0.0338561522414737,-0.103268772340408,-0.670635999999999,1.96649422088897,-1.22214542588974,-1.17530271075613,-1,-1.20470427432833,0.0294015635722025
