bootstrap_index,mean_thrust_N,std_thrust_N,min_sampled_thrust_N,max_sampled_thrust_N,mean_voltage_V,std_voltage_V,sampled_unit_ids
374,3.10892760416667,0.123721258796822,2.9102753,3.238860475,11.2084583333333,0.233651058560983,train_seed2001_baseline_post;train_seed2001_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;train_seed2001_baseline_pre;train_seed2001_baseline_pre
375,3.01062920833333,0.0877071970677177,2.932601575,3.10704285,10.951375,0.268886586221778,train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_post
376,3.05572853333333,0.0762786444774183,2.9102753,3.10704285,11.1149541666667,0.151708969260779,validation_seed2003_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_post
377,3.00906408333333,0.133898323100615,2.9102753,3.238860475,10.9401875,0.324865089979674,train_seed2001_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_pre
378,2.97418042916667,0.083889394317225,2.9102753,3.10704285,10.9579458333333,0.166386994997107,train_seed2002_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_post;train_seed2001_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_pre
379,3.03813762916667,0.132910121344269,2.9102753,3.238860475,11.0353125,0.301653139694421,train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_post;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;train_seed2002_baseline_post
380,2.97626949166667,0.129112569632272,2.9102753,3.238860475,10.8749416666667,0.298193794648158,train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_post;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_post
381,2.92522634166667,0.0115820691739171,2.9102753,2.933002725,10.7403708333333,0.114491865886476,train_seed2002_baseline_post;validation_seed2003_baseline_post;validation_seed2003_baseline_pre;validation_seed2003_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_post
382,2.99987107916667,0.127495203660895,2.9102753,3.238860475,10.9675125,0.281162509836394,validation_seed2003_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_post;train_seed2002_baseline_post
383,3.02731264166667,0.164173686561317,2.9102753,3.238860475,11.0095125,0.348236053471638,validation_seed2003_baseline_pre;train_seed2001_baseline_pre;validation_seed2003_baseline_post;train_seed2001_baseline_pre;validation_seed2003_baseline_pre;train_seed2002_baseline_post
384,2.98168937916667,0.0775957727979732,2.932601575,3.10704285,10.940125,0.201905832010867,train_seed2002_baseline_post;train_seed2002_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_post;validation_seed2003_baseline_post;train_seed2002_baseline_post
385,2.9686416125,0.0647632395434824,2.9102753,3.051483675,10.9134541666667,0.18572623698381,train_seed2002_baseline_post;train_seed2002_baseline_pre;validation_seed2003_baseline_post;validation_seed2003_baseline_pre;train_seed2002_baseline_pre;train_seed2002_baseline_post
386,3.06167235833333,0.117329913182029,2.932601575,3.238860475,11.0859458333333,0.282777531558234,train_seed2002_baseline_post;validation_seed2003_baseline_post;train_seed2001_baseline_post;train_seed2001_baseline_pre;train_seed2001_baseline_post;train_seed2002_baseline_pre
